city_pair,distance_to_largest_city,time_to_largest_city
"('sun%20valley,CA', 'los%20angeles,CA')",16.769566,17.733333333333334
"('la%20jolla,CA', 'los%20angeles,CA')",112.796891,106.56666666666666
"('phoenix,AZ', 'phoenix,AZ')",0.0,0.0
"('lake%20balboa,CA', 'los%20angeles,CA')",21.503793,26.3
"('santa%20clarita,CA', 'los%20angeles,CA')",34.794301,35.25
"('knoxville,TN', 'nashville,TN')",180.632606,152.26666666666668
"('dania%20beach,FL', 'jacksonville,FL')",329.799595,262.21666666666664
"('ashville,OH', 'columbus,OH')",21.695797,27.866666666666667
"('antioch,CA', 'los%20angeles,CA')",353.877729,302.0833333333333
"('pompano%20beach,FL', 'jacksonville,FL')",316.269238,249.26666666666668
"('league%20city,TX', 'houston,TX')",25.834129,26.08333333333333
"('converse,TX', 'houston,TX')",187.824977,156.63333333333333
"('tamarac,FL', 'jacksonville,FL')",326.167681,264.43333333333334
"('irvine,CA', 'los%20angeles,CA')",40.269824,41.61666666666667
"('tujunga,CA', 'los%20angeles,CA')",18.775973,23.4
"('reddick,FL', 'jacksonville,FL')",93.393333,98.61666666666666
"('chatsworth,CA', 'los%20angeles,CA')",30.693251,33.1
"('corpus%20christi,TX', 'houston,TX')",209.481627,190.5
"('yakima,WA', 'seattle,WA')",142.048561,124.28333333333332
"('chino,CA', 'los%20angeles,CA')",35.376526,37.7
"('huntersville,NC', 'charlotte,NC')",15.470279,17.75
"('garland,TX', 'houston,TX')",252.012621,207.56666666666663
"('shaker%20heights,OH', 'columbus,OH')",144.715487,125.78333333333332
"('fayetteville,NC', 'charlotte,NC')",134.617583,151.6
"('babcock%20ranch,FL', 'jacksonville,FL')",275.764535,269.4833333333333
"('salt%20lake%20city,UT', 'salt%20lake%20city,UT')",0.0,0.0
"('tigard,OR', 'portland,OR')",11.476105,16.566666666666666
"('longview,TX', 'houston,TX')",210.757924,202.13333333333333
"('reunion,FL', 'jacksonville,FL')",167.502411,143.41666666666666
"('gastonia,NC', 'charlotte,NC')",24.263302,26.933333333333334
"('san%20francisco,CA', 'los%20angeles,CA')",381.956872,316.7
"('boulder,CO', 'denver,CO')",27.91945,34.6
"('buckeye,AZ', 'phoenix,AZ')",36.81935,38.48333333333333
"('soddy%20daisy,TN', 'nashville,TN')",143.283226,138.21666666666667
"('bellevue,WA', 'seattle,WA')",10.580709,12.533333333333331
"('vacaville,CA', 'los%20angeles,CA')",400.296643,327.9
"('mooresville,NC', 'charlotte,NC')",28.364974,32.65
"('macon,GA', 'atlanta,GA')",83.094105,73.46666666666667
"('south%20lyon,MI', 'detroit,MI')",41.497654,42.85
"('university%20place,WA', 'seattle,WA')",38.778533,43.833333333333336
"('cherryville,NC', 'charlotte,NC')",38.37837,47.25
"('santa%20ana,CA', 'los%20angeles,CA')",32.308195,35.18333333333333
"('antioch,TN', 'nashville,TN')",10.913142,13.983333333333333
"('west%20covina,CA', 'los%20angeles,CA')",19.909976,21.95
"('spring%20hill,FL', 'jacksonville,FL')",177.124344,187.35
"('cleveland,TN', 'nashville,TN')",163.370292,144.08333333333334
"('miami%20shores,FL', 'jacksonville,FL')",344.012219,276.1333333333333
"('taylorsville,UT', 'salt%20lake%20city,UT')",11.145535,14.766666666666667
"('bellingham,WA', 'seattle,WA')",89.461917,82.68333333333334
"('saintjohns,FL', 'jacksonville,FL')",26.338061,32.3
"('ventura,CA', 'los%20angeles,CA')",68.002863,64.13333333333334
"('laredo,TX', 'houston,TX')",350.271291,287.43333333333334
"('newport,NY', 'new%20york%20city,NY')",268.954928,297.95
"('matthews,NC', 'charlotte,NC')",11.668108,17.45
"('garfield%20heights,OH', 'columbus,OH')",138.765857,120.23333333333332
"('capitol%20heights,MD', 'baltimore,MD')",37.682435,45.95
"('mount%20holly,NC', 'charlotte,NC')",14.381015,22.666666666666668
"('seven%20hills,OH', 'columbus,OH')",134.226119,116.0
"('edinburg,TX', 'houston,TX')",340.001889,305.6666666666667
"('winnetka,CA', 'los%20angeles,CA')",25.520958,29.7
"('hialeah%20gardens,FL', 'jacksonville,FL')",351.291582,285.96666666666664
"('midland,TX', 'houston,TX')",518.353441,439.95
"('hollywood%20park,TX', 'houston,TX')",206.595358,171.95
"('roanoke,TX', 'houston,TX')",271.949937,219.75
"('concord,NC', 'charlotte,NC')",28.316507,32.36666666666667
"('allentown,PA', 'philadelphia,PA')",59.399979,87.68333333333334
"('ocklawaha,FL', 'jacksonville,FL')",111.831902,127.33333333333331
"('lakeland,FL', 'jacksonville,FL')",194.393492,165.76666666666668
"('ferndale,MI', 'detroit,MI')",11.578631,18.08333333333333
"('lake%20worth,TX', 'houston,TX')",279.936421,227.91666666666663
"('clinton,MD', 'baltimore,MD')",48.36132,50.95
"('lakewood,WA', 'seattle,WA')",41.438002,42.85
"('gainesville,FL', 'jacksonville,FL')",71.731712,78.86666666666666
"('cutler%20bay,FL', 'jacksonville,FL')",370.801395,307.78333333333336
"('saintongsville,OH', 'columbus,OH')",124.52403,106.13333333333334
"('silver%20springs,FL', 'jacksonville,FL')",101.578656,108.8
"('roseville,CA', 'los%20angeles,CA')",401.848206,330.53333333333336
"('east%20boston,MA', 'boston,MA')",6.784752,19.816666666666663
"('cottonwood%20heights,UT', 'salt%20lake%20city,UT')",15.861121,19.7
"('arleta,CA', 'los%20angeles,CA')",19.552687,21.266666666666666
"('weeki%20wachee,FL', 'jacksonville,FL')",182.664489,186.5
"('south%20euclid,OH', 'columbus,OH')",148.625775,130.21666666666667
"('arlington,VA', 'virginia%20beach,VA')",206.952647,184.03333333333333
"('franklin,TN', 'nashville,TN')",23.059085,25.05
"('joelton,TN', 'nashville,TN')",19.867723,20.25
"('commerce%20city,CO', 'denver,CO')",8.97695,18.966666666666665
"('lackawanna,NY', 'new%20york%20city,NY')",369.332473,349.1166666666667
"('sunrise,FL', 'jacksonville,FL')",329.058921,268.65
"('punta%20gorda,FL', 'jacksonville,FL')",270.829605,260.18333333333334
"('bonita%20springs,FL', 'jacksonville,FL')",362.077343,295.26666666666665
"('gainesville,GA', 'atlanta,GA')",54.5334,51.98333333333333
"('horizon%20city,TX', 'houston,TX')",731.37067,585.5833333333334
"('syracuse,NY', 'new%20york%20city,NY')",246.407232,224.65
"('brighton,CO', 'denver,CO')",21.800187,29.316666666666663
"('chula%20vista,CA', 'los%20angeles,CA')",127.233208,112.48333333333332
"('anthony,FL', 'jacksonville,FL')",94.424809,98.63333333333334
"('el%20cajon,CA', 'los%20angeles,CA')",126.297423,109.68333333333334
"('oak%20park,MI', 'detroit,MI')",13.426589,19.0
"('enosburg,VT', 'burlington,VT')",45.541537,51.2
"('placida,FL', 'jacksonville,FL')",305.881154,259.3333333333333
"('essex,VT', 'burlington,VT')",7.366355,14.766666666666667
"('miami%20gardens,FL', 'jacksonville,FL')",340.096337,271.8833333333333
"('everett,WA', 'seattle,WA')",28.80739,28.9
"('little%20falls,NY', 'new%20york%20city,NY')",210.954277,248.91666666666663
"('thornton,IL', 'chicago,IL')",26.435616,32.15
"('renton,WA', 'seattle,WA')",14.158564,18.75
"('aventura,FL', 'jacksonville,FL')",336.763302,271.43333333333334
"('victorville,CA', 'los%20angeles,CA')",82.358402,76.08333333333333
"('albion,MI', 'detroit,MI')",93.937654,82.48333333333333
"('auburn,WA', 'seattle,WA')",26.8364,29.116666666666667
"('coral%20springs,FL', 'jacksonville,FL')",320.825753,260.03333333333336
"('englewood,FL', 'jacksonville,FL')",293.817854,247.6
"('happy%20valley,OR', 'portland,OR')",13.755294,21.03333333333333
"('richardson,TX', 'houston,TX')",252.182877,201.3
"('cleveland%20heights,OH', 'columbus,OH')",150.328333,133.16666666666666
"('southwest%20ranches,FL', 'jacksonville,FL')",342.997519,273.46666666666664
"('fisher%20island,FL', 'jacksonville,FL')",355.245988,307.95
"('hazard,KY', 'louisville,KY')",182.517846,169.66666666666666
"('saintpete%20beach,FL', 'jacksonville,FL')",229.171016,228.2333333333333
"('canton,OH', 'columbus,OH')",127.502883,115.71666666666668
"('north%20richland%20hills,TX', 'houston,TX')",266.297945,214.05
"('saint%20louis,MO', 'kansas%20city,MO')",248.460242,211.03333333333333
"('university%20park,TX', 'houston,TX')",244.872445,197.31666666666663
"('los%20fresnos,TX', 'houston,TX')",346.868662,300.5833333333333
"('vista,CA', 'los%20angeles,CA')",92.924819,83.43333333333334
"('oakland%20park,FL', 'jacksonville,FL')",320.355375,255.61666666666667
"('suitland,MD', 'baltimore,MD')",43.769387,48.68333333333333
"('chickamauga,GA', 'atlanta,GA')",113.248007,105.08333333333331
"('norwalk,CA', 'los%20angeles,CA')",15.329227,19.416666666666668
"('denton,TX', 'houston,TX')",278.68063,227.55
"('fullerton,CA', 'los%20angeles,CA')",26.029861,28.183333333333334
"('cleveland,NC', 'charlotte,NC')",46.29029,49.06666666666667
"('mcallen,TX', 'houston,TX')",363.796056,314.6
"('rialto,CA', 'los%20angeles,CA')",52.888009,53.78333333333333
"('belleair,FL', 'jacksonville,FL')",223.65324,219.2333333333333
"('brentwood,TN', 'nashville,TN')",15.290702,15.766666666666667
"('surfside,FL', 'jacksonville,FL')",343.555511,283.95
"('lakewood,OH', 'columbus,OH')",135.766499,121.98333333333332
"('north%20fort%20myers,FL', 'jacksonville,FL')",292.542179,286.25
"('doral,FL', 'jacksonville,FL')",356.1302,289.05
"('saluda,NC', 'charlotte,NC')",97.618036,101.5
"('weddington,NC', 'charlotte,NC')",19.283012,28.916666666666668
"('haslet,TX', 'houston,TX')",281.01885,230.15
"('fairfield,VA', 'virginia%20beach,VA')",105.859903,97.18333333333334
"('thornville,OH', 'columbus,OH')",36.945488,38.65
"('downey,CA', 'los%20angeles,CA')",12.897802,18.48333333333333
"('bay%20harbor%20islands,FL', 'jacksonville,FL')",343.820215,285.05
"('union%20gap,WA', 'seattle,WA')",146.186894,127.13333333333334
"('north%20bay%20village,FL', 'jacksonville,FL')",347.754737,282.95
"('van%20nuys,CA', 'los%20angeles,CA')",16.650262,22.633333333333333
"('hendersonville,TN', 'nashville,TN')",17.107592,19.366666666666667
"('sunnyvale,CA', 'los%20angeles,CA')",349.644327,296.45
"('north%20miami,FL', 'jacksonville,FL')",342.721631,274.6
"('glendale,CA', 'los%20angeles,CA')",10.220313,13.583333333333334
"('garden%20grove,CA', 'los%20angeles,CA')",28.571269,34.61666666666667
"('saintpetersburg,FL', 'jacksonville,FL')",245.625547,205.4
"('arcadia,FL', 'jacksonville,FL')",245.873474,233.21666666666667
"('milwaukee,WI', 'milwaukee,WI')",0.0,0.0
"('colorado%20springs,CO', 'denver,CO')",68.353317,63.766666666666666
"('lakewood,CA', 'los%20angeles,CA')",21.166388,25.98333333333333
"('springfield,MA', 'boston,MA')",116.883028,138.46666666666667
"('hermitage,TN', 'nashville,TN')",14.549406,17.55
"('broomfield,CO', 'denver,CO')",16.84848,24.5
"('deltona,FL', 'jacksonville,FL')",112.629742,94.91666666666669
"('chevy%20chase,MD', 'baltimore,MD')",37.377963,41.63333333333333
"('bratenahl,OH', 'columbus,OH')",147.337052,127.45
"('bloomington,IN', 'indianapolis,IN')",55.73886,58.766666666666666
"('rocky%20river,OH', 'columbus,OH')",137.150292,122.86666666666666
"('murfreesboro,TN', 'nashville,TN')",33.416721,35.0
"('jacksonville%20beach,FL', 'jacksonville,FL')",21.666592,23.55
"('edgecliff%20village,TX', 'houston,TX')",260.230255,211.0
"('ooltewah,TN', 'nashville,TN')",151.556783,133.2
"('leesburg,FL', 'jacksonville,FL')",141.732905,147.98333333333332
"('oceanside,CA', 'los%20angeles,CA')",83.294187,75.31666666666666
"('lancaster,OH', 'columbus,OH')",31.640842,34.916666666666664
"('carrollton,TX', 'houston,TX')",258.535155,210.81666666666663
"('celebration,FL', 'jacksonville,FL')",160.340487,137.0
"('jurupa%20valley,CA', 'los%20angeles,CA')",48.69686,50.48333333333333
"('terrell%20hills,TX', 'houston,TX')",195.136031,162.76666666666668
"('woodhaven,NY', 'new%20york%20city,NY')",13.181768,30.516666666666666
"('youngstown,OH', 'columbus,OH')",172.306853,147.45
"('lubbock,TX', 'houston,TX')",579.997813,468.98333333333335
"('crystal%20lake,IL', 'chicago,IL')",53.014147,65.63333333333334
"('west%20park,FL', 'jacksonville,FL')",335.475821,269.53333333333336
"('huntley,IL', 'chicago,IL')",55.044788,68.03333333333333
"('mayfield%20heights,OH', 'columbus,OH')",148.320682,125.71666666666668
"('marina%20del%20rey,CA', 'los%20angeles,CA')",20.907277,28.98333333333333
"('morriston,FL', 'jacksonville,FL')",101.132511,113.68333333333334
"('brownsville,TX', 'houston,TX')",354.845204,307.75
"('ashland%20city,TN', 'nashville,TN')",23.352994,29.95
"('college%20park,GA', 'atlanta,GA')",10.176196,12.383333333333333
"('puyallup,WA', 'seattle,WA')",35.864924,36.833333333333336
"('toledo,OH', 'columbus,OH')",142.29711,135.55
"('tarzana,CA', 'los%20angeles,CA')",21.907063,24.666666666666668
"('wilton%20manors,FL', 'jacksonville,FL')",322.248071,257.65
"('sunny%20isles%20beach,FL', 'jacksonville,FL')",339.661999,274.93333333333334
"('redding,CA', 'los%20angeles,CA')",542.831116,442.1166666666667
"('bremerton,WA', 'seattle,WA')",16.63535,54.3
"('high%20pt,NC', 'charlotte,NC')",131.003067,143.45
"('brecksville,OH', 'columbus,OH')",127.817918,110.08333333333331
"('vallejo,CA', 'los%20angeles,CA')",384.255324,317.18333333333334
"('bakersfield,CA', 'los%20angeles,CA')",111.84495,99.31666666666666
"('whitwell,TN', 'nashville,TN')",122.02736,106.4
"('bay%20village,OH', 'columbus,OH')",140.490162,128.11666666666667
"('lynnwood,WA', 'seattle,WA')",16.246371,17.983333333333334
"('fairfield,CA', 'los%20angeles,CA')",394.004017,323.8833333333333
"('brandon,FL', 'jacksonville,FL')",220.184125,184.36666666666667
"('loudonville,NY', 'new%20york%20city,NY')",154.411363,173.08333333333334
"('lancaster,CA', 'los%20angeles,CA')",70.83383,67.71666666666667
"('sun%20city%20west,AZ', 'phoenix,AZ')",30.998345,37.5
"('albany,NY', 'new%20york%20city,NY')",152.662203,173.43333333333334
"('thornton,CO', 'denver,CO')",9.782868,15.85
"('huffman,TX', 'houston,TX')",30.115376,36.48333333333333
"('youngtown,AZ', 'phoenix,AZ')",25.930441,30.05
"('dunwoody,GA', 'atlanta,GA')",17.802285,22.05
"('lyndhurst,OH', 'columbus,OH')",147.351343,126.5
"('marysville,WA', 'seattle,WA')",34.487965,35.06666666666667
"('sandy%20springs,GA', 'atlanta,GA')",15.414355,19.65
"('iowa%20falls,IA', 'des%20moines,IA')",82.831265,73.25
"('olmos%20park,TX', 'houston,TX')",198.491435,166.73333333333332
"('madison,TN', 'nashville,TN')",8.735858,12.983333333333333
"('pegram,TN', 'nashville,TN')",20.344936,24.5
"('la%20vergne,TN', 'nashville,TN')",19.556416,23.33333333333333
"('venice,CA', 'los%20angeles,CA')",18.410607,24.883333333333333
"('east%20pt,GA', 'atlanta,GA')",110.162899,92.6
"('gulfport,FL', 'jacksonville,FL')",249.316492,211.26666666666668
